alg,data
R' D R D' R' D R U R' D' R D R' D' R,7
R' U R U2 R' U' R U2 R' U' R U' R' U R,7
R U2 R' U' R U' R2 U2 R U R' U R,7
R U R' F' R U R' U' R' F R U' R' F R U R U' R' F',7
R' U' R2 U R2 U R2 U2 R' U R' U R,7
R U' R2 D' r U2 r' D R2 U R',7
R' U R2 U R' U R' U' R U' R' U' R U R U' R',7
R' U' R U R2 D' R U2 R' D R2 U2 R' U2 R,7
R' U' R U' R' U' R2 D r' U2 r D' R2 U' R,7
R U R' U' R U R2 D' R U' R' D R U2 R U' R',7
R U R' U2 R' D' R U R' D R2 U' R' U R U' R',7
R U R D R' U R D' R' U L' U R' U' L,7
R' U2 R U R' U R U' R' U' R U' R' U2 R,6
R' U' R' D' R U R' D R U2 R U R' U R,6
r U r' R U R' U' R U R' U' r U' r' F R U R' U' F',6
R' U2 R U' R' F R U R' U' R' F' R U' R,6
R' U R U2 R' U' R U' R U R' U' R' U' R U R U' R',6
R D R' U' R D' R' U' R' U R U' R' U R U R' U' R,6
R' U2 R U R' U R2 U2 R' U' R U' R',6
R U' R' U2 R U R' U2 R U R' U R U' R',6
R U R' U R U' R' U' L' U2 R U2 R' U2 L,6
R' U2 R' D' R U2 R' D R' U R' U R U2 R',6
R' U2 R U R' U R F U R U2 R' U R U R' F',6
R' U' R U' R' U R F U' R' U2 R U F',6
R' U2 R U2 R2 D' R U2 R' D R2 U' R' U R,6
R U R' U R U' R' U R' U' R2 U' R2 U2 R,6
r U' r U2 R' F R U2 r2 F,5
R' U' R2 U R' F' R U R' U' R' F R2 U' R' U' R' U R,5
R U2 R D R' U2 R D' R U' R U' R' U2 R,5
R' U R2 D r' U2 r D' R2 U' R,5
R' U' R' D' R U R' D R U' R U' R' U2 R,4
R U' R' U R U R' U' R U R' U R' D' R U R' D R,4
R' D' R U' R' D R U' R U' R' U R U' R' U' R U R',4
R' U R2 D R' U R D' R' U R' U' R U' R' U' R,3
R U R2 U' R2 U' R2 U2 R U' R U' R',2
R' U' R U' F U' R' U R U F' R' U R,2
R' D' R U R' D R2 U R' U2 R U' R' U' R U' R',2
F R U R' U' R U' R' U' R U R' F',1
R U' R2 D' R U' R' D R U' R U R' U R U R',1
R U R' U2 R U' R' U2 R U' R2 F' R U R U' R' F,0
R U R D R' U' R D' R2,0
R U2 R' U2 R' F R U R U' R' F',0
R2 B2 R' U2 R' U2 R B2 R' U R U' R',0
R' D' R U R' D R2 U' R' U R U R' U' R U R',0
F' U' r' F2 r U' r' F' r F,0
R U R' U' R U' R' L U' R U R' L',0
R U R' U R U R' U2 L R U' R' U L',0
R' U' R U' R2' F' R U R U' R' F U R U' R' U2 R,0
R' U' R U R' U' R2 D R' U2 R D' R' U R' U R,0
R U R D R' U2 R D' R' U' R' U R U' R' U' R U' R',0
F R U R' U' R' F' U2 R U R U' R2 U2 R,0
R U' R' U' R U R D R' U2 R D' R' U' R',0
x' U' R' D R U R' D' R x,0
R U R' U' R' F' R U2 R U2 R' F,0
R2 F2 R U2 R U2 R' F2 R U' R' U R,0
R D R' U' R D' R2 U R U' R' U' R U R' U' R,0
F U R U2 R' U R U R' F',0
R U R' U' R U' R'  U' F R U R' U' R' F' R,0
R' U' R U' R' U R' U' R U R' F' R U R' U' R' F R',0
F R U R' U' R U R' U' F' R U R' U' R' F R F',0
R U R' U' R U R2 D' R U2 R' D R U' R U' R',0
R' U2 R F U' R' U R U F' R' U R,0
R' U2 R2 U R' U' R' U2 F' R U2 R U2 R' F,0
R' U R U R' U' R' D' R U2 R' D R U R,0
R U2 R' U' R U' R' U2 R' U2 R U R' U R,0
R U R' U' R U' R U2 R2 U' R U R' U' R2 U' R2,0
R' U' R U' R' U2 R2 U R' U R U2 R',0
R U R' U R U2 R2 U' R U' R' U2 R,0
R U R' U' R U' R' U2 R U' R' U2 R U R',0
R' U' R U R' U R U2 R' U R U2 R' U' R,0
R U2 R2 U' R2 U' R' U R' U' R U R' U R,0
R' U2 R2 U R2 U R U' R U R' U' R U' R',0
R' U2 R U R' U R U R' U' R U' R' U2 R,0
R U2 R' U' R U' R' U' R U R' U R U2 R',0
R' U' R U' R U2 R2 U' R2 U' R2 U R,0
R U R' U R' U2 R2 U R2 U R2 U' R',0
R' U' R U' F U' R' U R U R' U R U' F',0
R U R' U L' U R U' M' x' U' R U' R',0
R U2 R2 F R F' M' U' R U' R' U M,0
R' U2 R F U' R' U R U R' U R U' F',0
R2 D R' U' R D' R' U' R' U R U R',0
R2 D' R U R' D R U R U' R' U' R,0
R U' R' U' R U R D R' U R D' R2,0
R' U R U R' U' R' D' R U' R' D R2,0
M' U R' U' F' U F R2 U R' U R U2 r',0
F R U R' U' R U R' U' F' U' R' F' U' F U R,0
F R U' R' U' R U2 R' U' R U' R' U' R U2 R' U' F',0
r' U' R' F R U r F R U' R' F',0
R' F R U' R' U' R U R' F' R U R' U' R' F R F' R,0
F2 R U' R' U' R U R' F' R U R' U' R' F R F2,0
R U' R' U R U' L U r' F U2 R U2 R2 x,0
R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U2 R,0
R U' L U L' U R' U' l U2 R U2 R2 x,0
R' U L' U' L U' R U l' U2 R' U2 R2 x',0
F R U R U2 R' U' R U' R' U2 R' U2 R U' R' U' F',0
r U R' U' r' F R2 U' R' U' R U2 R' U' F',0
F U R U2 R' U R U R2 F' r U R U' r',0
R U2 R' U2 R' F R U R U2 R' U' R U2 R' U' F',0
R' U' R F R2 D' R U R' D R2 U' F',0
r U R' U' r' F R U R' U' R F' R' U R,0
x R2 U2 R' D2 R U2 R' D2 R' x',0
x R2 D2 R U2 R' D2 R U2 l,0
R U R' U R U' R' U2 R' D' R U2 R' D R2 U' R',0
R' U2 R U R' U R' D R' U2 R D' R' U2 R',0
R U' R' U' R U' R' U R' D' R U R' D R2 U R',0
R' U R U R' U R U' R D R' U' R D' R2 U' R,0
R' U2 R U R' U R' D' R U' R' D R U R,0
R U' R' U' R U2 R' U2 R' D' R U' R' D R,0
R' U' R U2 R' F' R U R' U' R' F R2 U2 R' U R,0
R U R' U R U R' U2 R U' R2 D' R U' R' D R,0
F R U' R' U R U R' U R U' R' F',0
F' R U R' U' R' F R2 U R' U2 R U R' U2 R U' R',0
R2 D' r U2 r' D R U2 R,0
R2 D' R U2 R' D R U2 R,0
R U' R' D R' U' R D' R2 U R' U' R' U2 R',0
R U R' U R U2 R2 U z U R' D R U' z',0
R2 D' R U' R' D R2 U' R' U2 R,0
R' U R U R' U2 R U2 y R U' R' U2 R U' R',0
R2 D R' U R D' R2 U' R U' R' U2 R U' R' U2 R U R',0
R2' F' R U2 R U2' R' F U' R U R' U' R,0
R' U2 R2 D R' U2 R D' R2 U R U2 R' U2 R,0
R U R' U2 F2 R U2 R' U2 R' F2 R2 U R',0
R' U2 R' D' R U2 R' D R U2 R U R' U R,0
R' U R U' R' U' R U2 R D R' U' R D' R2 U' R,0
R' U2 R U R2 F' R U R U' R' F R,0
R2 D R' U2 R D' R' U2 R',0
R' U' R U R U R' U' R' U F R U R U' R' F',0
R U' R' U' R U2 R' U' R' D' R U2 R' D R,0
R U R2 D' R U R' D R2 U2 R',0
R U' R' U' R U2 R' U2 y' R' U R U2 R' U R,0
R' U R' U' D' R U' R' U2 R U' R' D R U' R,0
R U R' U R U' R' U F' R U2 R' U2 R' F R,0
R' U' R U R' U R U2 F R' U R U' F' R' U2 R,0
R U R' U R U' R' U R U' R' U' L' U R U' R' L,0
R U2 R D R' U2 R D' R' U2 R' U' R U' R',0
R U' R' U R U R' U2 R' D' R U R' D R2 U R',0
R U2 R' U2 R' U' R U R U' R' U2 R' U2 R,0
R U R' U R U' R' U R U' R' U R U2 R',0
R U2 R' U' R U' R' U2 R U R' U R U2 R',0
R U R' U R U2 R' U2 R U2 R' U' R U' R',0
R2 U R' U R' U' R U' R' U' R U R U' R2,0
R2 U' R U' R U R' U R U R' U' R' U R2,0
R' U2 R U R' U R U' R U2 R' U' R U' R',0
R U2 R' U' R U' R' U R' U2 R U R' U R,0
R2 U R' U' R' U R U R' U R U' R U' R2,0
r U r' U R U' R' U R U' R' M' U R U2' r',0
R U R' U R U2 R' U R' U' R U' R' U2 R,0
R' U' R U' R' U2 R U' R U R' U R U2 R',0
F R U' R' U' R U R D R' U' R D' R' U2 R' U' F',0
F R U R2' F R F' R U' R' F',0
L' U2 R U' R' U2 L R U' R',0
R' U' R U R' F' R U R' U' R' F R2,0
R' U F' R U R' U' R' F R2 U' R' U' R U R' U' R,0
R U' R' U R U R' U R U' R2' D' R U R' D R,0
r U2 R r2 F R' F' r2 U2 r',0
r U2 r2 F R F' r2 R' U2 r',0
F R U R' U' F' r U r' U R U' R' r U' r',0
r U r' R U R' U' r U' r' F U R U' R' F',0
R U R' U R U' R' F2 R U2 R' U2 R' F2 R2 U' R',0
R U R2 F2 R U2 R U2 R' F2 R U R' U' R U' R',0
F' r U R' U' r' F R,0
R' U' R U R' F2 R U2 R' U2 R' F2 R2,0
F' R U2 R' U2 R' F R U R U' R',0
R' U R U' R' U R U R' U' R2 D R' U R D' R',0
F R U' R' U' R U2 R' U' F',0
R' U' R U2 R' F' R U R' U' R' F R2 U R' U2 R,0
R' F R U R U' R' F' U R U R' U R U' R',0
R2 D' R U' R' D R U R' U' R' U' R U R U R U' R,0
F R' F' R U R U' R' F U R U' R' U R U' R' F',0
F' R U2 R' U2 R' F U2 R U R U' R2 U2 R,0
R U R' U R' D' R U2 R' D R2 U' R' U R U' R',0
R' U' R' D' R U2 R' D R U R U' R' U' R,0
F R' F' r U R U' r',0
R U R' U' R B2 R' U2 R U2 R B2 R2,0
F R U R' U' R' F' R U2 R U2 R',0
R U' R' U R U' R' U' R U R2 D' R U' R' D R,0
R' F' R U R' U' R' F R U' R U R' U R,0
R U R' U R U R' U' R U R D R' U2 R D' R' U' R',0
L R U' R' U R L' U R' U R U' R',0
L U' R U R' L' U2 R U' R' U' R U' R',0
R' U2 R U R' U' F' R U R' U' R' F R2 U R' U R,0
R' U2 R2 U R' U' R' U2 F R U R U' R' F',0
R U R' U R U' R' U' L' U R U' M' x',0
R U R D R' U2 R D' R' U' R' U R U R',0
R' U2 R' D' R U2 R' D R2,0
R' U2 R' D' r U2 r' D R2,0
R D R' U2 R D' R' U' R' U2 R U' R' U' R,0
R U2 R U R U' R2 D R' U R D' R U R',0
R U R' U2 R U R' U2 y' R' U2 R U' R' U' R,0
R' U2 R U R2 D' R U R' D R2,0
R U R' U' R U' R' U L' U R U' L U' R',0
R U' R' U2 R U R' U2 R U R' U R2 D R' U' R D' R2,0
R' U2 R U2 R' U' R2 D R' U2 R D' R2 U2 R,0
F' R U R' U' R' F R2 U' R' U' R U' R' U R U R',0
R U' R2 F2 R U2 R U2 R' F2 U2 R U' R',0
R' U R2 D R' U R D' R' U2 R' U R U R' U' R,0
R U2 R D R' U2 R D' R2,0
R' F' R U R' U' R' F R2 U' R' U2 R,0
L' U R U' L U R2 U2 R U R' U R,0
F R U R' U' R' F' U' R U R U' R' U' R' U R,0
R' U' R U2 R' U' R y U2 R U2 R' U R U R',0
R U2 R' U' R2 D R' U' R D' R2,0
R' U' R U R' U R U' L U' R' U L' U R,0
R' U R' D' R U R' U2 R U R' D U R U' R,0
R U2 R' U2 R U R2 D' R U2 R' D R2 U2 R',0
R U R' U R U2 R D R' U2 R D' R' U2 R',0
R' U R2 B2 R' U2 R' U2 R B2 U2 R' U R,0
R U' R2 D' R U' R' D R U2 R U' R' U' R U R',0
R' U' R U R U2 R' U' R U' R2 U2 R,0
R U R' U' R' U2 R U R' U R2 U2 R',0
R' U2 R U R' U R2 U R' U R U2 R',0
R U2 R' U' R U' R2 U' R U' R' U2 R,0
R U2 R' U2 R U' R' U2 R U' R' U2 R U R',0
R' U2 R U2 R' U R U2 R' U R U2 R' U' R,0
R U' R' U2 R U R' U2 R U R' U2 R U2 R',0
R' U R U2 R' U' R U2 R' U' R U2 R' U2 R,0
R' U2 R2 U R2 U R2 U2 R',0
R U2 R2 U' R2 U' R2 U2 R,0
R U R' U' R' U' R U R U R' U' R' U R U' R U' R',0
R U2 R' U' R U' R' U' R U2 R' U' R U' R',0
R2 U R' U2 R' U' R U R D R' U R D' R' U R U' R2',0
F R2 U' R U2 R U R' U R' U R2 F',0
F U R' U' R2 U' R2 U2 R U2 R U R' F',0
r' U' R U' R' U R U' R' U R' F R F' U r,0
R U2 R' U' F' R U2 R' U' R U' R' F R U' R',0
R U R' U r' F R F' r U' R' U R U2' R',0
r U R' U R' F R F' R U' R' U R U2' r',0
R U R' U' R U R2 D' R U' R' D R U' R U2 R',0
R U2 R' U R' D' R U R' D R2 U' R' U R U' R',0
R' U2 R U' R D R' U' R D' R2 U R U' R' U R,0
R2 D R' U' R D' R' U' R' U R U' R' U' R U' R',0
R2 D' R U R' D R U R U' R' U R U R' U R,0
F U R U2 R' U R U R' F' R U2 R' U' R U' R',0
r U' r' U' r U r' U' l R U' R' U l',0
r' U r U r' U' r U R2 F R F' R,0
r' U' R U' R' U2 r U' R U2 R' U2 R' F R F',0
R' U' R U R2 F' R U R U' R' F U' R U R' U R,0
R U2 R D' R U' R' D R' U' R2 U2 R,0
R' U' R U' R2 D' R U R' D R2 U' R' U2 R,0
L' U R U' L U' R' U' R U' R',0
R U' L' U R' U L U L' U L,0
R2 D' R U2 R' D R2 U R2 D' R U R' D R2,0
R2 D R' U2 R D' R2 U' R2 D R' U' R D' R2,0
R U2 R2 F R U R U2 R' U' R U2 R' U' F' R U R',0
R U2 R2 U' R U' R' U2 F R U R U' R' F',0
R U R' U R U2 R2 F' r U R U' r' F,0
r' F' r U' r' F2 r2 U R' U' r' F R F',0
F R U R' U' R' F' R U2 R' U' R2 U' R2 U2 R,0
R' U' R L U2 R' U2 R U2 L' U R' U2 R,0
F U' R U' R' U R U R' U2 R U2 R' U F',0
R2 D' R U' R' D R U R' D' R U R' D R U R U' R' U' R,0
R' U' F' R U R' U' R' F R2 U2' R' U2 R,0
R U R' U R U' R' U' R' F' R U2 R U2' R' F,0
R' U' R' D' R U R' D R' U R' U R U2 R',0
R U R D R' U' R D' R U' R U' R' U2 R,0
F U R U' R' U R U2 R' U' R U R' F',0
r' F' r U r U2 r' F2 U' R U R' U' R U' R',0
R U2 R' U2 R' F R2 U' R' U2 R U2 R' U' F',0
R' F R U R' U' R' F' R2 U' R' U R U' R' U2 R,0
R' L U2 R2 U R2 U R U L' U' R U2 R',0
l U2 l' U2 R' U2 R B2 U R' U R,0
R U R' U F2 R U2 R' U2 R' F2 R,0
R' U2 R U R' U R2 U' L' U R' U' L,0
R U R' U R U' R' U R U' R D R' U' R D' R2,0
R U R' U' R' F R2 U R' U' R U R' U' F',0
R2 D R' U2' R D' R2' U' R U' R' U R U2' R' U' R U' R',0
R U2 R' U' R U R' U2 L' U R U' M' x',0
L R' U' R U L' U2 R' U R U' R' U2 R,0
R U R' U R U' R2' F R F' R U' R' F' U F,0
F U R U2 R' U2 R U R2 F' R U2 R U2 R',0
R U' R' U' R U' R' U R U R' U R' F' R U R U' R' F,0
R' U2 R U R' U' R U R2 F R U R U' R' F' R,0
R' F2 R U2 R U2 R' F2 U' R U' R',0
R' U' R U' B2 R' U2 R U2 l U2 l',0
R U2 R' U' R U' R2 U L U' R U L',0
R' U' R U' R' U R U' R' U R' D' R U R' D R2,0
F U R U' R' U R U' R2 F' R U R U' R',0
R U R' U R U2' R' U' R U R' U R2 D R' U2 R D' R2',0
R' U2 R U R' U' R U2 L U' R' U R L',0
R L' U R' U' L U2 R U' R' U R U2 R',0
R U2 R' U' R U' R' U' R' U' R U' R' U2 R,0
R' U2 R U R' U R U R U R' U R U2 R',0
R' U' R U' R' U R U' R' U2 R,0
R U R' U R U' R' U R U2 R',0
R' U2 R U R' U' R U R' U R,0
R U2 R' U' R U R' U' R U' R',0
R U R' U R U' R' U R U' R' U R' U' R2 U' R' U R' U R,0
R U R' U R U2 R' U' R' U2 R U R' U R,0
R U2 R D R' U' R D' R2 U' R' F R U R U' R' F',0
F U R U' R' U R U' R' U R U' R' F',0
R U R' y' U R' U R U' R2 F R F' R,0
R' U' R y U' R U' R' U R l U' R' U l',0
F R U R' U' R U R' U' F' U R' F' U' F U R,0
R' U' R U' R' U2 R U R' U' R U R' F' R U R' U' R' F R2,0
L' U L U' L' U' L U R' U' R U L' U' L U2 R' U' R,0
R U' R' U R U R' U' L U L' U' R U R' U2 L U L',0
R U R' U R U2 R' F R U' R' U' R U2 R' U' F',0
R U R2 F R F' r U' r' U r U r' U2,0
R' F R' F' R2 U' r' U r U' r' U' r,0
R' U' R U' R' U' L U' R U L',0
R U R' U R U L' U R' U' L,0
R' U' R U' R' U F' R U R' U' R' F R2 U' R' U R,0
R U R' U R' U' R2 U' R2 U' L U' R U L',0
R' U2' R U R2' D' R U' R' D R2 U R' U R,0
R U2 R' U' R2 D R' U R D' R2' U' R U' R',0
F R U' R' U' R U2 R' U' F' U R U R' U R U2 R',0
R2 D' R U' R' D R2 U' R2 D' R U2 R' D R2,0
R2 D R' U R D' R2' U R2 D R' U2 R D' R2',0
F R' F' r U R U' r2 F2 r U r' F r,0
R U R' U' R' F R U R U' R' F' R U R' U R U2 R',0
R' U2 R U' L U2 R' U2 R U2 L' R' U R,0
R U2 R' U L' U2 R U2 R' U2 L R U' R',0
F U' R U2 R' U2 R U' R' U' R U R' U F',0
R' F R U R' U' F' R U' R' U R' F R F' U R,0
R U2 R' U' R U' R D' R U' R' D R U R,0
R U2 R2 F U' R2 U' R2 U F' U R,0
R' U2 R U2' R2 F' R U R U' R' F U R,0
F B' R2 B R2 U' R2 U' R2 U R2 F',0
R' U' R U' R' U R U R' F R U R' U' R' F' R2,0
F R U' R' U R U2 R' U' R U R' U' F',0
R' U R2 U R' U R U2 R U2 R U R' U R2,0
R' U2 R2 U R  U' R' U R U R2 U' R',0
R U R' U R U2 R',0
R' U2 R U R' U R,0
R U R2 U' R2 U' R2 U2 R2 U2 R',0
R' U' R U' R U R2 U R2 U2 R',0
R U R' U' R' U2 R U R U' R' U R' U R,0
R' U' R U R U R' U' R' U R U R U' R',0
R U R' U R U' R' U R' U' R2 U' R' U R' U R,0
R U R' U R U R U R U R U' R' U' R2,0
R U R' U R' U' R2 U' R' U R' U' R U R' U R,0
R U R' U R U' R' U R' U' R' U R U' R' U' R2 U R,0
F U' R' U R U F' R U R2 U R2 U2 R',0
R' D' R U' R' D R U2 R U R' U2 R U R',0
R' U2 R U R' U' R F U' R' U' R U F',0
R' U R U2 R' U R U2 R D R' U' R D' R',0
L' U2 R U' R' U2 L U R U' R' U R U2 R',0
F R U R' U' R U R2 U' F' U R U R U' R',0
R U R' F' R U R' U R U2 R' F R U' R',0
R U2 L' R' U2 R U2 R' U2 L U' R U' R',0
R U' R2 U2 D' R U R' U D R2 U R',0
F U R' F R F' R U' R' U R U' R' F',0
R U R' U' L' U R U' L U' L' U R' U' L,0
F R U' R U2 R' U2 R' U' R U2 R' U' R2 U' R2 F',0
R U' L' U R' U' L,0
R' U2 R U R' U' R' D' R U2 R' D R2,0
R' D U' R' U R U2 D' R2 U R' U' R',0
R' U' R' U R2 D' U2 R U R' U' D R',0
R2 D R' U2 R D' R' U' R' U R U2 R',0
D' R U R' U R U' R' U' D R2 U' R U' R' U R' U R2,0
R U R' U R U R' U' R U R D R' U' R D' R' U2 R',0
R' U2 R U R' U' R' D' R U' R' D R U R U' R' U' R,0
R' U2 F' R U R' U' R' F R U2 R,0
R2 U R U R' U' R' U' R' L' U R' U' L,0
R U2 R' U2 R' F R2 U R' U' R U R' U' F',0
R U R' U R U' R' U' R' F R2 U' R' U' R U R' F',0
R2 U R' U R D R' U2 R D' R' U R U' R2',0
R U R' U R U' R D R' U' R D' R2,0
R U' R' U' R U' R' U2 R U R2 D' R U2 R' D R,0
F U R U' R' U R U' l U' R2 D' R U R' x,0
R2 D' R U' R' D R U' R U R' U R,0
R U2 R' L' U2 R U R' U2 L R U2 R',0
R' D' R U R' D R2 U' R' U R U R' U' R U2 R' U R U2 R',0
R U' R' U' R U R D R' U2 R D' R2 U R U2 R',0
R' U2 R' D' R U R' D R U' R U R' U R,0
R' U' R U' R2 F' R U R U' R' F U2 R,0
R U R' U R' D' R U R' D R U' R U2 R',0
R U2 R' U' R U R' U' R U R D R' U2 R D' R2,0
f R' F' R U2 R U2 R' U2 S',0
R' D' R U R' D R2 U R' U2 R U R',0
R' D R' U R D' U R U' R' U' R2 U R U' R',0
R' U2 R U R2 D' R U' R' D R U2 R,0
R2 D' r U2 r' D R2 U R' U R,0
R' U2 R U R' U R' D' R U2 R' D R U2 R,0
R L' U R' U' L U2 R U2 R',0
R2 D' R U2 R' D R2 U R' U R,0
R2 F R U R U' R' F' R U' R' U R,0
R U R' U R' U' R' D' R U R' D R' U2 R',0
R' U' F U' R2 U R2 U F' R U' R U' R',0
R2 D' R U2 R D2 R' U' R D2 R' U R' D R U2 R,0
R U R' U' R U R2 D' R U2 R' D R2 U2 R',0
R U R' U R U' R2 F' R U R U' R' F R U' R',0
R U R' U R2 D r' U2 r D' R2,0
R' U R U2 R' U R2 D R' U R D' R',0
R' U' R U R2 U' R' U' R U D' R U R' D R',0
R U R' U R2 D R' U2 R D' R2,0
R' U2 R U2 L U' R' U L' R,0
R U2 R D R' U2 R D' R' U R' U R U2 R',0
R U R2 F' R U2 R U2 R' F R U' R',0
